Especies;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Anthus chii;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Spinus magellanicus;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Euphonia violacea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
Zonotrichia capensis;1;;;1;;;;;;;;;1;1;1;;;;;1;;;1;1;;;;;1;1;;;1;1;;;;;;1;1
Leistes superciliaris;1;1;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;
Molothrus bonariensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
Agelaioides badius;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Geothlypis aequinoctialis;;;;;;;1;;;;;1;;;;1;;;1;;;;1;1;;1;1;;1;;1;;1;;;;;;;1;
Setophaga pitiayumi;;;;;;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;;;;;;;1;;
Basileuterus culicivorus;;;;;1;1;1;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;
Dacnis cayana;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;1;;;;;;;1;
Coereba flaveola;;;;1;;;;;;;;;;1;;;;;1;;;;;;;;1;;;;1;;;;;;;1;;;
Volatinia jacarina;;;;;;;;;1;;;;1;;1;;;;1;1;;;1;;1;1;1;;;;1;;;;;;;;;;
Tachyphonus coronatus;;;;;1;;;;;1;;1;1;;;;;1;;;;;1;;;1;;;;;;;;;;;;1;;1;
Ramphocelus bresilia;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;1;
Sporophila caerulescens;;;;1;;;;;;1;;;;1;1;;;;1;1;;;1;1;1;1;;;;;;;;1;;;;;;;
Sicalis flaveola;1;1;1;1;;;1;;;;;;;1;;;1;1;;;1;;;;;1;;;1;1;;;;;1;;;;;;
Thraupis sayaca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
Tangara seledon;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;1;;;;;;;
Tangara cyanocephala;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
